Mtn Range,Plot,EASTING,NORTHING,PJ_cover,Total_cover,Ecog_cover,Pinyon_cover,Juniper_cover,BA_plot,SDI_plot,Plot_pj_density,PJ_dens_per_ha,C_trans_aspect,C_slope,C_elevation,slope_pos,solar_rad,F_trans_aspect,F_slope,F_elevation,Pct_clay,Soil_depth,Soil_ph,dem_masked,Slope_Angl,cum_cwd
Fish Creek,FC718,573694.88,4353366.78,11.69,11.69,25,2.31,9.38,243.14,604.13,32,320,0.37,17,2195,51,316646,0.09,27,2161,16,23,6,2185.41,3.71,302.6960449
Desatoya,DES965240,434641.42,4337253.37,39.01,39.01,34,22.06,17.09,301.44,740.64,41,410,0.56,36,2199,54,316961,1.5,83,2178,20,38,6,2189.56,8.47,301.923645
Toiyabe,TOI111,513900.44,4411566.32,22.9,22.9,18,0,22.9,56.6,149.23,11,110,0.14,28,2053,39,320521,0.53,28,2026,23,69,6,2038.71,9.76,301.631012
Ravenswood,RAV445,476857.49,4395546.26,27.31,29.48,23,20.17,7.14,77.98,245.23,35,350,0.91,40,2235,54,311439,1.57,37,2183,24,201,7,2207.35,22.47,298.6544189
Shoshone,SHO424,503572.8,4463403.74,36.06,36.06,28,27.52,9.45,201.3,533.04,40,400,0.04,51,2048,100,316627,0,47,2008,22,36,5,2020.31,15.26,297.5359802
New Pass,NP92120ACTUAL,462945.49,4391756.85,36.27,36.27,56,28.85,9.94,165.73,544.33,98,980,1.28,14,1972,48,318145,1.82,48,1947,23,69,6,1971.82,5.42,297.1166687
Toiyabe,TOI144,519677.34,4436207.23,13.45,13.45,24,7.77,6.86,106.04,323.27,43,430,0.44,34,1846,74,308712,0.74,26,1821,25,48,7,1842.72,5.37,296.391449
New Pass,NP92360,462901.95,4391903.61,50.49,50.49,40,39.57,11.9,237.9,668.81,64,640,0.04,10,1951,18,321377,0.74,25,1924,23,69,6,1946.88,5.64,296.385376
Whistler,WHIS67,579641.57,4385346.44,19.32,24.3,19,8.19,11.13,191.75,533.63,49,490,1.41,11,2001,40,307503,0.58,10,1976,30,76,6,2004.46,6.26,295.1594238
Toiyabe,TOI144120,519722.43,4436158.67,9.45,9.46,6,2.87,6.58,26.35,90.00,14,140,1.53,21,1865,100,319597,0.46,15,1840,25,48,7,1857.56,6.02,294.8502502
