"","Number","Plot","Unique_tree","Date","Observers","Spp","Live","Code","X.Stems","Diameters","DecayClass","Height","Cones.Brown","Cones.Green","MortalityCause1","MortalityCause2","MortalityCause3","MortalityCause4","MortalityCause5","DMR","PerDeadCrown","Easting","Northing","Age","Cored","Comments","Diameters2","Diameters3","Diameters4","Diameters5","Diameters6","Diameters7","Diameters8","Diameters9","Diameters10","Diameters102","BA_cm","BA_m2_per_ha","ENN_dist","ENN_ID","Neighbor_larger","density_2m","BA_2m","SDI_2m","density_4m","BA_4m","SDI_4m","density_6m","BA_6m","SDI_6m","LiveDead","PDC05","Delta_pdc"
"3022",27,"ROB938360","ROB93836027","7/16/2015","SF,EK","PIMO","Y","",1,"18.2",1.76470588235294,4.33,"0","0","PSF",NA,NA,NA,NA,0,30,NA,NA,1,"","","18.2",9.31176470588235,8.95714285714286,12.5,NA,NA,NA,NA,NA,NA,260.0234,0.2600234,0.795222446317372,"ROB93836028",0.802107233425915,1,208.56665,131.297087646324,6,1911.43575,276.679595307563,13,2822.82075,195.882546004736,"L",25,-5
"3023",46,"SS32360","SS3236046","8/14/2014","PW, SF, AU","JUOS","Y","",1,"18.2",1.22222222222222,2.15,"0","0",NA,NA,NA,NA,NA,0,10,NA,NA,1,"","","18.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,260.0234,0.2600234,1.90708313213605,"SS3236040",2.80838666827678,1,730.24625,358.917992523509,5,2020.1347,279.007184479144,7,2325.3741,148.366529707516,"L",10,0
"3024",32,"SS452","SS45232","8/19/2014","SF, TD, AU","PIMO","Y","",1,"18.2",NA,3.57,"0","0","PNS","PTB",NA,NA,NA,0,35,NA,NA,1,"","","18.2",13.76,8,12.1,NA,NA,NA,NA,NA,NA,260.0234,0.2600234,1.26450107986228,"SS45244",0.510204081632653,2,231.1354,163.499847259276,3,485.4754,80.3307358945567,3,485.4754,35.7025492864696,"L",0,-35
"3025",14,"SS604240","SS60424014","8/18/2014","SF, TD, AU","PIMO","Y","",1,"18.2",NA,3.82,"7","10","PNS",NA,NA,NA,NA,0,30,NA,NA,1,"","","18.2",16.175,12.2,NA,NA,NA,NA,NA,NA,NA,260.0234,0.2600234,1.84469312457846,"SS60424020",1.25637000362275,1,326.6856,188.213342126198,4,2868.71185,353.754281233279,6,3707.86115,209.278700308181,"L",10,-20
"3027",5,"WHIS25","WHIS255","7/19/2015","JV, EK","JUOS","Y","",1,"18.2",1,3.9,NA,NA,NA,NA,NA,NA,NA,0,10,NA,NA,1,"","","18.2",15.5,25.2,NA,NA,NA,NA,NA,NA,NA,260.0234,0.2600234,0.780746772346551,"WHIS256",1.55563941552953,4,1008.1755,611.372202221906,8,1822.456,281.863378709794,15,4879.91325,312.641995570826,"L",5,-5
"3028",21,"DES1014240","DES101424021","5/26/2015","JV,PW","PIMO","Y","",1,"18.3",1.08695652173913,4.78,"3","1","PNS",NA,NA,NA,NA,2,15,NA,NA,1,"","canker scars","18.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,262.88865,0.26288865,2.34699601598088,"DES101424022",1.15885813252113,0,0,NA,1,304.65065,44.4889636861704,6,3196.45275,185.78033977174,"L",45,30
"3029",94,"ROB938","ROB93894","6/29/2015","SF, EK, JV ","PIMO","Y","",2.22222222222222,"17.2",1.73076923076923,5.82,"0","0","IPS",NA,NA,NA,NA,0,50,NA,NA,1,"","","17.2",10.3052631578947,7.3,7,NA,NA,NA,NA,NA,NA,232.2344,0.2322344,0.973057929189478,"ROB93885",1.09518658734451,1,254.34,153.959452691597,7,1655.46295,254.150419544874,24,5775.5433,392.725007413857,"L",20,-30
"3030",14,"ROB938","ROB93814","6/29/2015","SF, EK, JV ","PIMO","Y","",2.22222222222222,"18.4",1.73076923076923,5.99,"0","0","IPS",NA,NA,NA,NA,0,50,NA,NA,1,"","","18.4",10.3052631578947,7.3,7,NA,NA,NA,NA,NA,NA,265.7696,0.2657696,0.421233445116168,"ROB93817",0.709623109640832,5,531.68835,382.338051557377,14,1927.07295,329.224505255748,28,7079.35765,476.707909215409,"L",20,-30
"3031",14,"RAV339120","RAV33912014","6/23/2015","EK, JV ","JUOS","Y","",1.9,"18.3",1.02941176470588,5.59,"","",NA,NA,NA,NA,NA,0,25,NA,NA,1,"","","18.3",12.6058333333333,NA,NA,NA,NA,NA,NA,NA,NA,262.88865,0.26288865,2.12859854390362,"RAV33912013",6.56815670817283,0,0,NA,2,2094.6783,239.690698698604,2,2094.6783,106.529199421602,"L",5,-20
"3033",2,"ROB926","ROB9262","8/1/2015","EK,JV,SF","PIMO","Y","",1,"18.3",NA,3.64,NA,NA,"PTB","PSF","PNS",NA,NA,0,15,NA,NA,1,"","","18.3",9.5,NA,NA,NA,NA,NA,NA,NA,NA,262.88865,0.26288865,3.51276091592737,"ROB9261",1.11227567260892,0,0,NA,1,292.40465,43.0480494080157,4,1434.6817,90.1616317621794,"L",5,-10
"3034",2,"ROB938360","ROB9383602","7/16/2015","SF,EK","JUOS","Y","",1,"18.3",1.76470588235294,3.75,NA,NA,NA,NA,NA,NA,NA,0,50,NA,NA,1,"","","18.3",9.31176470588235,8.95714285714286,12.5,NA,NA,NA,NA,NA,NA,262.88865,0.26288865,1.99758231159909,"ROB9383609",0.0501955866105288,1,13.19585,14.3288744667941,8,1384.3475,226.053158132299,16,3543.46645,244.933679330244,"L",40,-10
"3035",40,"ROB938360","ROB93836040","7/16/2015","SF,EK","PIMO","Y","",1,"18.3",1.76470588235294,4.5,"5","3","PTB","PNS",NA,NA,NA,0,25,NA,NA,1,"","","18.3",9.31176470588235,8.95714285714286,12.5,NA,NA,NA,NA,NA,NA,262.88865,0.26288865,0.947801877407529,"ROB93836037",0.361312669831885,2,244.4804,171.033176049898,12,3481.518,513.344284032503,24,5250.06805,363.783215661752,"L",40,15
"3036",105,"ROB938360","ROB938360105","7/16/2015","SF,EK","PIMO","Y","",1,"18.3",1.76470588235294,5.3,"1","1","RTB","PTB","PSF",NA,NA,0,15,NA,NA,1,"","","18.3",9.31176470588235,8.95714285714286,12.5,NA,NA,NA,NA,NA,NA,262.88865,0.26288865,0.613330050247194,"ROB938360104",0.247275224700648,3,914.2267,533.996353605257,10,1655.66705,272.726245744106,28,5895.92305,411.623456289027,"L",30,15
"3037",3,"SHO424360","SHO4243603","8/3/2015","EK,JV,SF","PIMO","Y","",1,"18.3",1.5,5.31,"1","0","PTB",NA,NA,NA,NA,0,15,NA,NA,1,"","","18.3",15.9571428571429,11.1,NA,NA,NA,NA,NA,NA,NA,262.88865,0.26288865,1.70325805183111,"SHO42436068",0.107497984412792,1,28.26,26.4013870943033,1,28.26,6.60034677357582,6,754.84815,58.3425995385869,"L",5,-10
"3038",49,"SHO424360","SHO42436049","8/3/2015","EK,JV,SF","PIMO","Y","",1,"18.3",1.5,2.95,"2","1","RTB","PBR","PTB",NA,NA,0,15,NA,NA,1,"","","18.3",15.9571428571429,11.1,NA,NA,NA,NA,NA,NA,NA,262.88865,0.26288865,1.58076096077253,"SHO42436075",1.41909283645376,1,373.0634,209.371064007592,3,1409.79715,188.986481274952,8,2741.8087,173.861596924092,"L",0,-15
"3039",18,"SHO446","SHO44618","6/14/2015","SF, EK ","PIMO","Y","",4,"18.3",1.28571428571429,3.08,"2","","PNS","PBR","PTB",NA,NA,3,10,NA,NA,1,"","","18.3",14.9,11.8,11.4,NA,NA,NA,NA,NA,NA,262.88865,0.26288865,2.39812814754322,"SHO44619",0.978261518707635,0,0,NA,3,575.1381,92.0342941444452,5,1908.07595,118.452210560484,"L",0,-10
"3040",34,"SPR1620360","SPR162036034","7/18/2014","PW,TD,AU","PIMO","Y","",1,"18.3",2.75,3.93,"0","0","IPS","PTM",NA,NA,NA,0,70,NA,NA,1,"","dead top, canker","18.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,262.88865,0.26288865,1.48557800011267,"SPR162036037",0.466571112902744,2,201.15625,146.251446763156,12,1352.82975,240.415252664964,15,2700.4314,194.456159768489,"L",20,-50
"3041",56,"SS32120","SS3212056","8/13/2014","PW, SF, AU","PIMO","Y","",1,"18.3",1,4.68,"0","0","PNS",NA,NA,NA,NA,0,15,NA,NA,1,"","","18.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,262.88865,0.26288865,2.59638623545375,"SS3212058",4.08790946280868,0,0,NA,2,1159.5706,149.125880396317,4,2552.5374,143.159623898256,"L",5,-10
"3042",26,"SS452120","SS45212026","8/19/2014","SF, TD, AU","PIMO","Y","",1,"18.3",NA,3.89,"0","0","PTB","PNS",NA,NA,NA,0,30,NA,NA,1,"","","18.3",14.0714285714286,10.0333333333333,11.45,NA,NA,NA,NA,NA,NA,262.88865,0.26288865,1.36589021168575,"SS45212034",0.282122487981128,2,500.33545,303.858707026434,4,973.42355,148.600468632087,7,3093.86555,186.574739837907,"L",0,-30
"3045",29,"WHIS25360","WHIS2536029","7/20/2015","SF,JV,EK","PIMO","Y","",1,"18.3",1,5,"2","0","PTB","PSF",NA,NA,NA,0,10,NA,NA,1,"","","18.3",13.2285714285714,4.5,8.7,7.2,NA,NA,NA,NA,NA,262.88865,0.26288865,0.628748476021112,"WHIS2536030",0.451760279494759,3,583.3963,372.373169768827,7,1397.992075625,221.909292816356,9,2289.571525625,153.987061777945,"L",5,-5
"3047",6,"DES1014","DES10146","5/25/2015","SF,JV","PIMO","Y","",1,"18.4",1,4.87,"1","0","PTB",NA,NA,NA,NA,3,20,NA,NA,1,"","","18.4",31.4,NA,NA,NA,NA,NA,NA,NA,NA,265.7696,0.2657696,4.25221228602014,"DES10147",4.55730151228733,0,0,NA,0,0,NA,1,1211.1922,59.8545353627925,"L",10,-10
"3048",53,"DES1014120","DES101412053","5/27/2015","PW,SF,JV,EK","JUOS","Y","",1,"18.4",1,4.55,"","",NA,NA,NA,NA,NA,0,15,NA,NA,1,"","","18.4",13.175,10.95,11.6,13.4,NA,NA,NA,NA,NA,265.7696,0.2657696,0.237381545083543,"DES101412052",2.62299149338374,2,869.0578,473.261377618669,5,2558.29145,337.231056729968,9,4454.283915,262.679230612148,"L",20,5
"3049",27,"FC795240","FC79524027","6/7/2015","SF, JV ","JUOS","Y","",2.57142857142857,"18.4",2.8,1.44,"","",NA,NA,NA,NA,NA,0,55,NA,NA,1,"","","18.4",22.6714285714286,17.95,13.4,NA,NA,NA,NA,NA,NA,265.7696,0.2657696,3.33876578421873,"FC79524029",20.742084120983,0,0,NA,1,5512.6154,454.402431320662,2,5616.43165,235.079109370297,"L",40,-15
"3052",47,"ROB938","ROB93847","6/29/2015","SF, EK, JV ","PIMO","Y","",2.22222222222222,"20",1.73076923076923,5.17,"0","0","IPS",NA,NA,NA,NA,0,50,NA,NA,1,"","","20",10.3052631578947,7.3,7,NA,NA,NA,NA,NA,NA,314,0.314,1.5996923710553,"ROB93846",0.245025,1,76.93785,58.9777873440103,13,3067.59945,471.151769675745,35,10095.97935,662.370758726915,"L",50,0
"3053",13,"RAV339360","RAV33936013","5/23/2015","SF,JV","JUOS","Y","",1,"18.4",1.09090909090909,4.91,NA,NA,NA,NA,NA,NA,NA,0,75,NA,NA,1,"","","18.4",14.4,11.3,NA,NA,NA,NA,NA,NA,NA,265.7696,0.2657696,2.65108770424273,"RAV33936012",0.5625,0,0,NA,4,1261.0711,182.915897651567,5,1440.05895,94.507292615156,"L",30,-45
"3055",60,"RAV358","RAV35860","7/7/2015","SF,JV","PIMO","N","",1,"18.4",1,5.64,"rtb","",NA,NA,NA,NA,NA,0,100,NA,NA,1,"","","18.4",11.9,NA,NA,NA,NA,NA,NA,NA,NA,265.7696,0.2657696,1.96863816692603,"RAV35861",3.0625,1,813.9194,391.563914860719,2,1017.39925,134.266101841456,4,1617.5553,99.2738545181269,"L",10,-90
"3056",13,"ROB938","ROB93813","6/29/2015","SF, EK, JV ","PIMO","Y","",2.22222222222222,"22.5",1.73076923076923,7.85,"1","2","RTB",NA,NA,NA,NA,0,50,NA,NA,1,"","","22.5",10.3052631578947,7.3,7,NA,NA,NA,NA,NA,NA,397.40625,0.39740625,1.47776269496829,"ROB938145",0.189708641975309,2,100.89605,84.0666089429562,8,2099.3412,315.742468638379,23,5235.4225585,359.930456997313,"L",30,-20
"3057",99,"ROB938","ROB93899","6/29/2015","SF, EK, JV ","CELE","N","",2.22222222222222,"18.4",2,1.98,"unk","",NA,NA,NA,NA,NA,0,100,NA,NA,1,"","","18.4",10.3052631578947,7.3,7,NA,NA,NA,NA,NA,NA,265.7696,0.2657696,0.176060061087216,"ROB938101",0.203479442344045,6,643.6843,462.068088039746,17,6779.942035,938.801140734705,22,7790.125385,490.807824603298,"D",100,0
"3058",96,"ROB938240","ROB93824096","7/15/2015","SF, JV, EK","PIMO","Y","",1,"18.4",1.58064516129032,6.2,"5","0","PTB","PSF",NA,NA,NA,0,20,NA,NA,1,"","","18.4",8.92083333333333,7.55,5.95,NA,NA,NA,NA,NA,NA,265.7696,0.2657696,1.24266012896705,"ROB93824097",0.499172967863894,7,2172.0322,1264.1631433322,20,4257.75365,667.378015817289,30,6110.80895,429.431836493894,"L",10,-10
"3059",132,"ROB938360","ROB938360132","7/16/2015","SF,EK","PIMO","Y","",1,"18.4",1.76470588235294,4.24,"0","0","RTB","PTB",NA,NA,NA,0,60,NA,NA,1,"","","18.4",9.31176470588235,8.95714285714286,12.5,NA,NA,NA,NA,NA,NA,265.7696,0.2657696,0.625008027335223,"ROB938360133",1.04395085066163,4,1049.33305,631.321967560716,7,1592.27045,246.335197516729,24,5278.86595,365.383690283481,"L",35,-25
"3061",8,"SHO424360","SHO4243608","8/3/2015","EK,JV,SF","JUOS","Y","",1,"18.4",1.5,5.11,NA,NA,NA,NA,NA,NA,NA,0,20,NA,NA,1,"","","18.4",15.9571428571429,11.1,NA,NA,NA,NA,NA,NA,NA,265.7696,0.2657696,1.23929130678937,"SHO42436011",0.260987712665406,2,510.28925,308.700397722673,7,3050.18815,415.030563564584,10,3307.0637,211.188970702541,"L",5,-15
"3062",20,"SPR1620240","SPR162024020","7/17/2014","PW, AU, TD","PIMO","Y","",1,"18.4",1.75,3.72,"0","0","RTB","PTM","PSF",NA,NA,0,50,NA,NA,1,"","","18.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,265.7696,0.2657696,1.56646041043265,"SPR162024017",4.13149810964083,1,1098.0266,497.912362541758,1,1098.0266,124.47809063544,10,7211.2612,394.795858471468,"L",35,-15
"3063",2,"SPR1620360","SPR16203602","7/18/2014","PW,TD,AU","PIMO","Y","",1,"18.4",2.75,5.44,"0","0","PTM","RTB",NA,NA,NA,0,70,NA,NA,1,"","dead top","18.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,265.7696,0.2657696,1.29214146555192,"SPR162036025",1.2171845463138,2,361.95565,234.334071865407,9,1395.1491,232.820942386442,24,3964.02235,290.34510926699,"L",20,-50
"3065",6,"TOI1596360","TOI15963606","7/29/2015","SF,EK","PIMO","Y","",1,"18.4",NA,2.84,"6","26","PTB",NA,NA,NA,NA,1,10,NA,NA,1,"","","18.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,265.7696,0.2657696,3.41783409910857,"TOI15963605",0.476400047258979,0,0,NA,1,126.61265,21.9906956852348,2,305.6005,22.7304553865068,"L",0,-10
"3067",22,"TOI533120","TOI53312022","7/11/2015","JV, EK","JUOS","Y","",3,"12.3,12.1,6.5",NA,3.38,NA,NA,NA,NA,NA,NA,NA,0,10,NA,NA,1,"","","12.3",12.1,6.5,3.1,NA,NA,NA,NA,NA,NA,266.86075,0.26686075,3.60943692796622,"TOI53312023",4.22535667009854,0,0,NA,1,1127.58185,127.1598270436,7,2258.7904,144.947549746029,"L",25,15
"3068",43,"TOI1577360","TOI157736043","10/3/2015","PW,SF","JUOS","Y","",3,"15,7.1,8.1",1.18918918918919,4.76,NA,NA,NA,NA,NA,NA,NA,0,35,NA,NA,1,"","","15",7.1,8.1,13.5,12.1,NA,NA,NA,NA,NA,267.7007,0.2677007,1.06497185583385,"TOI157736042",0.659785349832854,3,827.60663,492.999257247217,12,6515.31377,848.833478320764,21,10984.806365,640.756167692969,"L",20,-15
"3069",66,"ROB938120","ROB93812066","6/30/2015","SF, EK, JV ","CELE","Y","",3,"13.6,7.1,10.3",1.28205128205128,1.87,NA,NA,NA,NA,NA,NA,NA,0,100,NA,NA,1,"","","13.6",7.1,10.3,NA,NA,NA,NA,NA,NA,NA,268.0461,0.2680461,0.145690923664939,"ROB93812067",1.26702981315527,4,983.0241,599.101875547266,6,1417.9141,217.713335118262,7,1521.73035,105.572656077717,"D",100,0
"3070",11,"NP342120","NP34212011","7/21/2015","JV,SF,EK","PIMO","Y","",1,"18.5",1.75,4.2,"0","0","PSF","PTB",NA,NA,NA,0,20,NA,NA,1,"","","18.5",15,11.2,NA,NA,NA,NA,NA,NA,NA,268.66625,0.26866625,1.69083547035429,"NP34212048",0.0790065741417093,1,21.2264,20.9835688590873,2,825.0664,113.484582539764,5,2205.73225,133.065745417193,"L",5,-15
"3071",33,"NP342360","NP34236033","7/21/2015","JV,EK","JUOS","Y","",1,"18.5",1.21428571428571,4.1,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,1,"","","18.5",16.1111111111111,13.1,12.85,14.1,NA,NA,NA,NA,NA,268.66625,0.26866625,1.40917049856513,"NP34236065",0.098290723155588,3,975.40175,562.486779397027,7,2407.6264,343.267913370068,13,4683.4428,294.070175262267,"L",30,5
"3072",23,"RAV339","RAV33923","5/20/2015","SF,JV,EK","JUOS","Y","",1,"18.5",1,3.75,NA,NA,NA,NA,NA,NA,NA,0,20,NA,NA,1,"","","18.5",13.15,13.0333333333333,14.8,NA,NA,NA,NA,NA,NA,268.66625,0.26866625,2.26162465568885,"RAV33924",1.66898466033601,0,0,NA,2,746.8961,104.772142513756,5,1862.87565,116.195071415626,"L",10,-10
"3073",44,"RAV339","RAV33944","5/20/2015","SF,JV,EK","PIMO","N","",1,"18.5",1,6.6,NA,NA,NA,NA,NA,NA,NA,0,100,NA,NA,1,"","","18.5",13.15,13.0333333333333,14.8,NA,NA,NA,NA,NA,NA,268.66625,0.26866625,2.98561600846925,"RAV33931",0.874477720964207,0,0,NA,1,234.94265,36.1158625955034,6,3103.19135,181.417766985207,"L",10,-90
"3074",17,"RAV358","RAV35817","7/7/2015","SF,JV","PIMO","N","",1,"18.5",1,5.23,NA,NA,"RTB",NA,NA,NA,NA,0,100,NA,NA,1,"","","18.5",11.9,NA,NA,NA,NA,NA,NA,NA,NA,268.66625,0.26866625,0.714696160412677,"RAV35818",0.16,1,42.9866,36.9667183002977,4,944.86525,145.091600532495,12,3666.86045,237.849978651839,"L",10,-90
"3075",3,"ROB938120","ROB9381203","6/30/2015","SF, EK, JV ","CELE","N","",1,"18.5",2,2.36,NA,NA,"BB",NA,NA,NA,NA,0,100,NA,NA,1,"","","18.5",9.075,9.025,NA,NA,NA,NA,NA,NA,NA,268.66625,0.26866625,1.26904524608272,"ROB938120126",0.143170197224251,1,38.465,33.8124267871901,6,714.42065,125.598384473513,13,3786.997,247.972829302928,"D",100,0
"3076",138,"ROB938360","ROB938360138","7/16/2015","SF,EK","JUOS","Y","",1,"18.5",1.76470588235294,1.98,NA,NA,NA,NA,NA,NA,NA,0,40,NA,NA,1,"","","18.5",9.31176470588235,8.95714285714286,12.5,NA,NA,NA,NA,NA,NA,268.66625,0.26866625,2.06283783305461,"ROB938360137",1.12245434623813,0,0,NA,2,356.9552,57.9331343633014,10,1949.11575,138.169847307555,"L",25,-15
"3077",25,"SHO424360","SHO42436025","8/3/2015","EK,JV,SF","JUOS","Y","",1,"18.5",1.5,3.58,NA,NA,NA,NA,NA,NA,NA,0,10,NA,NA,1,"","","18.5",15.9571428571429,11.1,NA,NA,NA,NA,NA,NA,NA,268.66625,0.26866625,2.88376694851735,"SHO42436024",0.0730460189919649,0,0,NA,1,19.625,4.92584626563528,10,4854.91885,287.395268489804,"L",0,-10
"3078",23,"SHO446","SHO44623","6/14/2015","SF, EK ","PIMO","N","",4,"18.5",1,5.87,"","","PBR","RTB","PTB",NA,NA,2,100,NA,NA,1,"","","18.5",14.9,11.8,11.4,NA,NA,NA,NA,NA,NA,268.66625,0.26866625,1.1625295683343,"SHO44624",0.540423666910153,1,145.1936,98.1802052781873,1,145.1936,24.5450513195468,1,145.1936,10.9089116975764,"L",0,-100
"3079",14,"SPR1575240","SPR157524014","8/12/2015","JV, EK, SF","PIMO","Y","",1,"18.5",1,8.43,"0","0","PTB","PSF",NA,NA,NA,0,30,NA,NA,1,"","","18.5",16,20.4,10.4,NA,NA,NA,NA,NA,NA,268.66625,0.26866625,0.399630915335298,"SPR157524015",0.182352081811541,4,1241.5089,722.541308080462,9,5221.43535,671.413998059311,13,7570.5714,432.337732456576,"L",30,0
"3080",39,"SPR1620360","SPR162036039","7/18/2014","PW,TD,AU","PIMO","Y","",1,"18.5",2.75,4.1,"0","0","PTM","RTB",NA,NA,NA,0,85,NA,NA,1,"","dead top","18.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,268.66625,0.26866625,1.63736531737844,"SPR162036049",3.82889700511322,2,1072.85165,560.431581134382,6,1587.27785,238.347151498528,13,2737.5776,191.121241543516,"L",15,-70
"3081",94,"SPR1620360","SPR162036094","7/18/2014","PW,TD,AU","PIMO","Y","",1,"18.5",2.75,5.08,"0","0","PTM",NA,NA,NA,NA,0,50,NA,NA,1,"","","18.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,268.66625,0.26866625,1.00080656092903,"SPR162036095",0.936186997808619,2,291.0937,196.743702258208,8,1153.00015,195.199829448957,24,3426.0854,258.277064630772,"L",15,-35
"3082",15,"SS32240","SS3224015","8/13/2014","PW, SF, AU","JUOS","Y","",1,"18.5",1,3.2,"0","0",NA,NA,NA,NA,NA,0,60,NA,NA,1,"","","18.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,268.66625,0.26866625,1.28764090443939,"SS3224014",2.37326515704894,2,2584.44765,1134.85303517893,4,5144.3719,565.265086340648,7,6957.5178,357.51563435377,"L",10,-50
"3083",2,"SS452240","SS4522402","9/12/2015","PW,SF","PIMO","Y","",1,"18.5",NA,5.7,"0","0","IPS","PSF",NA,NA,NA,0,25,NA,NA,1,"","","18.5",12.2166666666667,6.7,NA,NA,NA,NA,NA,NA,NA,268.66625,0.26866625,1.58212269777553,"SS4522401",0.328298027757487,2,510.721,308.909983535774,8,6388.02385,771.201754451236,11,8074.36085,440.502044245139,"L",15,-10
"3084",27,"TOI1577360","TOI157736027","10/3/2015","PW,SF","PIMO","N","",1,"18.5",1.18918918918919,4.77,NA,NA,NA,NA,NA,NA,NA,0,100,NA,NA,1,"","","18.5",10.95,8.45,13.5,12.1,NA,NA,NA,NA,NA,268.66625,0.26866625,0.667067046170903,"TOI157736099",2.25811541271001,4,1424.854935,806.991358094149,5,1475.094935,216.78323866929,12,6982.555535,398.821378050049,"D",100,0
"3086",10,"FC791120","FC79112010","6/4/2015","SF, JV ","PIMO","Y","",2,"12,14.1",NA,2.95,"","","PTB","PSF",NA,NA,NA,0,20,NA,NA,1,"","","12",14.1,17.6666666666667,11.3,NA,NA,NA,NA,NA,NA,269.10585,0.26910585,2.23986192402394,"FC7911209",0.134885213383507,0,0,NA,6,1315.18115,204.961312471906,12,3253.15775,216.063663939118,"L",15,-5
"3088",41,"WHIS25360","WHIS2536041","7/20/2015","SF,JV,EK","JUOS","Y","",5,"4.9,11.9,7.2,8.7,7.2",1,3.05,NA,NA,NA,NA,NA,NA,NA,0,10,NA,NA,1,"","","4.9",11.9,7.2,8.7,7.2,NA,NA,NA,NA,NA,270.81715,0.27081715,1.74377204104499,"WHIS2536039",0.584480709585785,2,705.401,400.298957850076,2,705.401,100.074739462519,6,2288.00025,142.058408554497,"L",5,-5
"3089",51,"ROB938120","ROB93812051","6/30/2015","SF, EK, JV ","CELE","N","",2,"13,13.3",1,2.44,NA,NA,"BB",NA,NA,NA,NA,0,100,NA,NA,1,"","","13",13.3,9.025,NA,NA,NA,NA,NA,NA,NA,271.52365,0.27152365,1.13287412123649,"ROB93812050",1.91231316314435,2,617.70865,359.847440532494,8,1716.0885,268.58358315762,21,4425.250390049,308.902919874845,"D",100,0
"3090",36,"ROB938360","ROB93836036","7/16/2015","SF,EK","PIMO","Y","",2,"13.3,13",1.76470588235294,4.3,"0","0","PTB","PSF",NA,NA,NA,0,20,NA,NA,1,"","","13.3",13,8.95714285714286,12.5,NA,NA,NA,NA,NA,NA,271.52365,0.27152365,0.385357424579617,"ROB93836035",0.324843158229495,3,420.0378,286.076021384843,7,1751.2251,265.882585595977,14,3918.4019,258.612088203103,"L",15,-5
"3091",16,"DES105360","DES10536016","9/19/2014","SF, PW","PIMO","Y","",1,"18.6",1,5.1,"0","0","PNS","IPS",NA,NA,NA,0,5,NA,NA,1,"","","18.6",5.1,NA,NA,NA,NA,NA,NA,NA,NA,271.5786,0.2715786,0.528589135712159,"DES10536014",0.815816857440167,3,330.2024,235.837936953947,7,1075.607,179.808405528556,13,1596.5801,123.98893716496,"L",0,-5
"3092",11,"FC791240","FC79124011","6/3/2015","SF, EK ","JUOS","Y","",2.66666666666667,"18.6",1,2.14,"","",NA,NA,NA,NA,NA,0,15,NA,NA,1,"","","18.6",32.1,25.1,NA,NA,NA,NA,NA,NA,NA,271.5786,0.2715786,1.20869563339656,"FC79124010",8.58553011908891,1,2331.64625,911.192998510035,2,3135.48625,331.31355453473,3,8833.83265,366.298157143811,"L",20,5
"3094",1,"NP342","NP3421","7/21/2015","JV,EK","PIMO","Y","",1,"18.6",1,4.8,"0","0","PSF","PNS",NA,NA,NA,0,35,NA,NA,1,"","","18.6",12.7833333333333,10.5333333333333,12.7,NA,NA,NA,NA,NA,NA,271.5786,0.2715786,2.70076036388484,"NP34248",0.132182911319228,0,0,NA,4,1869.0536,250.832845292493,8,2838.2303,178.751451107863,"L",5,-30
"3095",15,"WHIS25120","WHIS2512015","7/20/2015","EK,JV,SF","PIMO","Y","",1,"18.6",1,4.2,"0","0","RTB","PSF","PNS",NA,NA,0,20,NA,NA,1,"","","18.6",7,NA,NA,NA,NA,NA,NA,NA,NA,271.5786,0.2715786,1.6206316409031,"WHIS2512084",0.607729217250549,1,165.04625,108.81521674614,6,1105.437,178.287954083369,13,2087.786,153.769566754507,"L",5,-15
"3096",32,"WHIS25120","WHIS2512032","7/20/2015","EK,JV,SF","JUOS","Y","",1,"18.6",1,4.22,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,1,"","","18.6",7,NA,NA,NA,NA,NA,NA,NA,NA,271.5786,0.2715786,0.266791058933851,"WHIS2512031",0.444444444444444,3,682.83225,422.502750769785,6,1245.83425,196.242393670116,15,2764.9898,198.178101300444,"L",5,-20
"3097",44,"WHIS25120","WHIS2512044","7/20/2015","EK,JV,SF","PIMO","Y","",1,"18.6",1,5.85,"0","0","PNS","PSF",NA,NA,NA,0,25,NA,NA,1,"","","18.6",7,NA,NA,NA,NA,NA,NA,NA,NA,271.5786,0.2715786,0.21012874989357,"WHIS2512050",0.845213319458897,2,271.3745,185.974613191825,5,816.9966,134.928726952078,12,4718.6507,291.202891725157,"L",5,-20
"3098",23,"WHIS25240","WHIS2524023","7/19/2015","SF, EK","PIMO","Y","",1,"18.6",1,5.38,"0","0","PTB","IPS",NA,NA,NA,0,50,NA,NA,1,"","","18.6",11.7285714285714,8.16666666666667,NA,NA,NA,NA,NA,NA,NA,271.5786,0.2715786,1.27754514513564,"WHIS2524026",0.388946699040352,1,105.6296,76.0587284457882,10,1864.8774,300.05298487881,20,3114.3933,230.783205789254,"L",5,-45
