Plot,Number,Spp,LiveDead,Diam,DecayClass,HeightClass,Cones,MortalityCause1,MortalityCause2,MortalityCause3,DMR,BranchesBole,PreviousCurrent,PerDeadCrown,Easting,Northing,Cored,Misc
DES1014,52,Pimo,D,11,1,4,,,RWB,MT,,Both,Previous,100,451658.661,4373549.327,,
DES1014,53,Pimo,D,22,1,5,,IPS,RWB,MT,,Both,Previous,100,451661.661,4373547.327,,
DES1014,54,Pimo,D,15,1,4,,IPS,,MT,,Both,Previous,100,451661.661,4373547.327,,
DES1014,55,Pimo,D,13,1,4,,IPS,RWB,MT,,Both,Previous,100,451663.661,4373546.327,,
DES1014,56,Pimo,D,48,1,6,,IPS,RWB,MT,,Both,Previous,100,451667.661,4373546.327,,
DES1014,57,Pimo,D,18,1,5,,IPS,RWB,MT,,Both,Previous,100,451665.661,4373552.327,,
DES1014,58,Juos,L,30,,6,,,,,0,,,20,451668.661,4373546.327,,
DES1014,59,Pimo,L,18,,4,0,,,MT,4,,,5,451676.661,4373548.327,3,
DES1014,60,Pimo,L,71,,6,1,IPS,RWB,MT,6,Branches,Previous,60,451676.661,4373554.327,,
DES1014,61,Juos,L,8,,2,,,,,0,,,10,451678.661,4373554.327,,
DES1014,62,Pimo,D,26,1,5,,IPS,RWB,MT,,Both,Previous,100,451678.661,4373562.327,,
DES1014,63,Pimo,D,11,1,2,,IPS,,MT,,Both,Previous,100,451677.661,4373557.327,,
DES1014,64,Pimo,D,15,1,5,,IPS,,MT,,Both,Previous,100,451676.661,4373557.327,,
DES1014,65,Pimo,D,19,1,5,,IPS,,MT,,Both,Previous,100,451675.661,4373556.327,,
DES1014120,1,Pimo,D,13,1,3,,IPS,RWB,MT,,Both,Previous,100,451710.353,4373524.672,,
DES1014120,2,Pimo,D,19,1,2,,IPS,RWB,MT,,Both,Previous,100,451712.353,4373524.672,,
DES1014120,3,Juos,L,26,,5,,,,MT,1,,,15,451711.353,4373528.672,,
DES1014120,4,Pimo,L,52,,6,1,IPS,RWB,MT,4,Branches,Previous,10,451711.353,4373529.672,,
DES1014120,5,Pimo,D,76,1,6,,IPS,RWB,,,Both,Previous,100,451714.353,4373532.672,,Cankers
DES1014120,6,Pimo,L,16,,3,0,IPS,RWB,MT,3,Both,Previous,60,451713.353,4373523.672,,
DES1014120,7,Juos,L,14,,3,,,,,0,,,0,451719.353,4373521.672,,
DES1014120,8,Juos,L,10,,2,,,,,0,,,0,451720.353,4373522.672,,
