Number,Plot,Unique_tree,Date,Observers,Spp,Live,Code,X.Stems,Diameters,DecayClass,Height,Cones.Brown,Cones.Green,MortalityCause1,MortalityCause2,MortalityCause3,MortalityCause4,MortalityCause5,DMR,PerDeadCrown,Easting,Northing,Age,Cored,Comments,Diameters2,Diameters3,Diameters4,Diameters5,Diameters6,Diameters7,Diameters8,Diameters9,Diameters10,Diameters102,BA_cm,BA_m2_per_ha
33,FC795,FC79533,6/4/2015,"SF, JV ",PIMO,Y,I,NA,8.2,NA,1.45,,,PNS,NA,NA,NA,NA,0,5,NA,NA,1,,,8.2,,NA,NA,NA,NA,NA,NA,NA,NA,52.7834,0.0527834
20,FC795240,FC79524020,6/7/2015,"SF, JV ",PIMO,Y,,NA,8.5,1,1.7,,,NA,NA,NA,NA,NA,0,5,NA,NA,1,,,8.5,,NA,NA,NA,NA,NA,NA,NA,NA,56.71625,0.05671625
4,DIA333240,DIA3332404,6/28/2015,"JV, EK",PIMO,Y,,NA,8.7,NA,2.36,,,PNS,NA,NA,NA,NA,0,5,NA,NA,1,,,8.7,,NA,NA,NA,NA,NA,NA,NA,NA,59.41665,0.05941665
57,FC791,FC79157,6/3/2015,"JV, EK ",PIMO,Y,I,NA,10,NA,2.7,,,PNS,NA,NA,NA,NA,0,5,NA,NA,1,,,10,,NA,NA,NA,NA,NA,NA,NA,NA,78.5,0.0785
16,SHO446,SHO44616,6/14/2015,"SF, EK ",PIMO,Y,,NA,10.4,NA,3.08,,,PBR,NA,NA,NA,NA,0,5,NA,NA,1,,,10.4,,NA,NA,NA,NA,NA,NA,NA,NA,84.9056,0.0849056
75,ROB938360,ROB93836075,7/16/2015,EK,CELE,N,B,NA,NA,2,1.17,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1017.846,0.1017846
25,FC795240,FC79524025,6/7/2015,"SF, JV ",PIMO,Y,,NA,10.7,NA,2.28,,,NA,NA,NA,NA,NA,0,5,NA,NA,1,,,10.7,,NA,NA,NA,NA,NA,NA,NA,NA,89.87465,0.08987465
12,FC795,FC79512,6/4/2015,"SF, JV ",PIMO,Y,,NA,11.6,NA,2.25,,,PBR,PSF,NA,NA,NA,0,5,NA,NA,1,,,11.6,,NA,NA,NA,NA,NA,NA,NA,NA,105.6296,0.1056296
9,FC791,FC7919,6/3/2015,"JV, EK ",PIMO,Y,,NA,12.5,NA,2.9,,,PNS,NA,NA,NA,NA,0,5,NA,NA,1,,,12.5,,NA,NA,NA,NA,NA,NA,NA,NA,122.65625,0.12265625
25,DIA333360,DIA33336025,6/27/2015,"EK, SF ",PIMO,Y,M,NA,12.6,NA,3.27,0,0,PSF,PTB,NA,NA,NA,0,5,NA,NA,1,,,12.6,,NA,NA,NA,NA,NA,NA,NA,NA,124.6266,0.1246266
11,FC791,FC79111,6/3/2015,"JV, EK ",PIMO,Y,,NA,13,NA,2.25,,,PNS,NA,NA,NA,NA,0,5,NA,NA,1,,,13,,NA,NA,NA,NA,NA,NA,NA,NA,132.665,0.132665
17,FC791,FC79117,6/3/2015,"JV, EK ",PIMO,Y,,NA,13,NA,3.9,,,PNS,NA,NA,NA,NA,0,5,NA,NA,1,,,13,,NA,NA,NA,NA,NA,NA,NA,NA,132.665,0.132665
14,DES998,DES99814,5/28/2015,"SF, PJW ",PIMO,Y,,NA,13.1,NA,2.72,,,PTB,PMB,NA,NA,NA,0,5,NA,NA,1,,,13.1,,NA,NA,NA,NA,NA,NA,NA,NA,134.71385,0.13471385
2,DIA248,DIA2482,6/24/2015,"SF, JV",PIMO,Y,,NA,13.4,NA,3.39,0,12,PTM,NA,NA,NA,NA,0,5,NA,NA,1,,,13.4,,NA,NA,NA,NA,NA,NA,NA,NA,140.9546,0.1409546
19,FC791,FC79119,6/3/2015,"JV, EK ",PIMO,Y,,NA,14.2,NA,2.94,1,,PNS,NA,NA,NA,NA,0,5,NA,NA,1,,,14.2,,NA,NA,NA,NA,NA,NA,NA,NA,158.2874,0.1582874
1,DIA333240,DIA3332401,6/28/2015,"JV, EK",PIMO,Y,,NA,14.4,NA,3.37,,,PNS,NA,NA,NA,NA,0,5,NA,NA,1,,,14.4,,NA,NA,NA,NA,NA,NA,NA,NA,162.7776,0.1627776
27,SHO424,SHO42427,6/17/2015,"SF, JV ",PIMO,Y,,NA,15.1,NA,4.52,,,PTB,NA,NA,NA,NA,0,5,NA,NA,1,,,15.1,,NA,NA,NA,NA,NA,NA,NA,NA,178.98785,0.17898785
8,SPR1575,SPR15758,8/11/2015,"JV, EK, SF",PIMO,Y,,1,16.9,NA,2.73,0,0,PNS,NA,NA,NA,NA,0,5,NA,NA,1,,,16.9,,NA,NA,NA,NA,NA,NA,NA,NA,224.20385,0.22420385
1,DIA248120,DIA2481201,6/25/2015,SF,PIMO,Y,,NA,18,NA,3.43,0,20,NA,NA,NA,NA,NA,0,5,NA,NA,1,,,18,,NA,NA,NA,NA,NA,NA,NA,NA,254.34,0.25434
22,FC795240,FC79524022,6/7/2015,"SF, JV ",PIMO,Y,,NA,18.3,NA,3.47,,,NA,NA,NA,NA,NA,0,5,NA,NA,1,,,18.3,,NA,NA,NA,NA,NA,NA,NA,NA,262.88865,0.26288865
24,DES998,DES99824,5/28/2015,"SF, PJW ",PIMO,Y,,NA,19.5,NA,2.9,1,0,PNS,NA,NA,NA,NA,0,5,NA,NA,1,,,19.5,,NA,NA,NA,NA,NA,NA,NA,NA,298.49625,0.29849625
8,DIA333360,DIA3333608,6/27/2015,"EK, SF ",PIMO,Y,,NA,21.7,NA,4.31,5,0,PTB,NA,NA,NA,NA,0,5,NA,NA,1,,,21.7,,NA,NA,NA,NA,NA,NA,NA,NA,369.64865,0.36964865
4,FC791,FC7914,6/3/2015,"JV, EK ",PIMO,Y,,NA,21.7,NA,3.33,,,PNS,NA,NA,NA,NA,0,5,NA,NA,1,,,21.7,,NA,NA,NA,NA,NA,NA,NA,NA,369.64865,0.36964865
18,DIA248,DIA24818,6/24/2015,"SF, JV",PIMO,Y,,NA,22.6,NA,4.59,0,18,PTB,PSF,NA,NA,NA,0,5,NA,NA,1,,,22.6,,NA,NA,NA,NA,NA,NA,NA,NA,400.9466,0.4009466
22,DES998,DES99822,5/28/2015,"SF, PJW ",PIMO,Y,,NA,25.8,NA,4.75,2,0,PTB,RTB,PNS,NA,NA,0,5,NA,NA,1,,,25.8,,NA,NA,NA,NA,NA,NA,NA,NA,522.5274,0.5225274
6,FC791240,FC7912406,6/3/2015,"SF, EK ",PIMO,Y,,NA,27.6,NA,4.28,30,,PTB,NA,NA,NA,NA,0,5,NA,NA,1,,,27.6,,NA,NA,NA,NA,NA,NA,NA,NA,597.9816,0.5979816
13,FC791,FC79113,6/3/2015,"JV, EK ",PIMO,Y,,NA,32.1,NA,5.55,25,,NA,NA,NA,NA,NA,0,5,NA,NA,1,,,32.1,,NA,NA,NA,NA,NA,NA,NA,NA,808.87185,0.80887185
1,SPR1575,SPR15751,8/11/2015,"JV, EK, SF",PIMO,Y,,1,38.7,NA,4.73,5,0,PNS,PTB,NA,NA,NA,0,5,NA,NA,1,,,38.7,,NA,NA,NA,NA,NA,NA,NA,NA,1175.68665,1.17568665
16,DIA248,DIA24816,6/24/2015,"SF, JV",PIMO,Y,,NA,49.4,NA,4.54,40,0,RTB,NA,NA,NA,NA,0,5,NA,NA,2,,,49.4,,NA,NA,NA,NA,NA,NA,NA,NA,1915.6826,1.9156826
53,FC791,FC79153,6/3/2015,"JV, EK ",PIMO,Y,,NA,1.6,NA,3.39,,,PNS,NA,NA,NA,NA,0,10,NA,NA,1,,,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0096,0.0020096
26,SHO446360,SHO44636026,6/15/2015,"JV, EK ",PIMO,Y,I,NA,4.8,NA,1.36,,,NA,NA,NA,NA,NA,0,10,NA,NA,1,,,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0864,0.0180864
63,SPR1575240,SPR157524063,8/12/2015,"JV, EK, SF",PIMO,Y,M,1,5.3,NA,3.18,0,0,PTB,PNS,PSF,NA,NA,0,10,NA,NA,1,,,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.05065,0.02205065
18,FC791,FC79118,6/3/2015,"JV, EK ",PIMO,Y,,NA,8.4,NA,2.65,,,PNS,PTB,NA,NA,NA,0,10,NA,NA,1,,,8.4,,NA,NA,NA,NA,NA,NA,NA,NA,55.3896,0.0553896
10,DES998,DES99810,5/28/2015,"SF, PJW ",PIMO,Y,,NA,9,NA,2.05,0,0,PNS,PTB,NA,NA,NA,0,10,NA,NA,1,,dead top,9,,NA,NA,NA,NA,NA,NA,NA,NA,63.585,0.063585
