,Input Soil Properties,,,,,,,,"Saxton et al., 1986",,,,,"Campbell and Shiosawa, 1992",,,,,"Rawls and Brakensiek, 1985",,,,,"Williams et al., 1992",,,,,"Williams et al., 1992",,,,,"Oosterveld and Chang, 1980",,,,,"Mayr and Jarvice, 1999",,,,,"Wo¨sten et al., 1999",,,,,,"Varallyay et al., 1982",,,,,,"Vereecken et al., 1989",,,,,,"Wo¨sten et al., 1999",,,,,,"Tomasella and Hodnett, 1998",,,,,,"Rawls et al., 1982",,,,,,"Gupta and Larson, 1979",,,,,,"Rajkai and Varallyay, 1992",,,,,,"Rawls et al., 1983",,,,,
ID,depth,sand,silt,clay,OC,BD,PD,,qr,f,hb,λ,G,qr,f,hb,λ,G,qr,f,hb,λ,G,qr,f,hb,λ,G,qr,f,hb,λ,G,qr,f,hb,λ,G,qr,f,hb,λ,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G
,cm,%,%,%,%,g cm-3,g cm-3,,cm3 cm-3,cm3 cm-3,cm,-,cm,cm3 cm-3,cm3 cm-3,cm,-,cm,cm3 cm-3,cm3 cm-3,cm,-,cm,cm3 cm-3,cm3 cm-3,cm,-,cm,cm3 cm-3,cm3 cm-3,cm,-,cm,cm3 cm-3,cm3 cm-3,cm,-,cm,cm3 cm-3,cm3 cm-3,cm,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm
68,15,70.1,18.7,11.2,-1,1.30456522,2.65,,0,0.5077,1.771,0.1874,2.9046,0,0.5077,15.5042,0.2577,24.2485,0.0644,0.5077,6.7258,0.3693,9.9168,0,0.5077,15.9686,0.2892,24.519,-1,-1,-1,-1,-1,0,0.5077,1.115,0.19,1.8252,-1,-1,-1,-1,-1,0.025,0.366,0.043,1.5206,0.3424,5.3988,0,0.5038,0.0067,0.3853,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,15,41.6,44.4,13.9,-1,1.496470592,2.65,,0,0.4353,27.3328,0.2269,43.5953,0,0.4353,43.6038,0.1774,72.0608,0.0658,0.4353,27.1808,0.3621,40.2095,0,0.4353,19.0019,0.1687,31.6178,-1,-1,-1,-1,-1,0,0.4353,24.7174,0.19,40.461,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.397,0.0019,0.4498,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,15,57.6,31.7,10.7,-1,1.496470592,2.65,,0,0.4353,11.6839,0.2159,18.7744,0,0.4353,28.0248,0.2277,44.6744,0.0615,0.4353,15.351,0.3901,22.4241,0,0.4353,20.8397,0.2311,33.1463,-1,-1,-1,-1,-1,0,0.4353,8.9282,0.19,14.615,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.3953,0.003,0.4498,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71,15,39.2,46.4,14.5,-1,1.496470592,2.65,,0,0.4353,30.444,0.2282,48.5174,0,0.4353,46.9162,0.1704,77.9608,0.0667,0.4353,29.6345,0.3572,43.9393,0,0.4353,18.7354,0.1605,31.3812,-1,-1,-1,-1,-1,0,0.4353,28.6755,0.19,46.9401,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.3973,0.0017,0.4498,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
72,15,38.8,43.7,17.6,-1,1.496470592,2.65,,0,0.4353,28.0711,0.2105,45.277,0,0.4353,52.7268,0.1585,88.4616,0.0756,0.4353,30.2839,0.3375,45.3319,0,0.4353,19.4615,0.1486,32.9212,-1,-1,-1,-1,-1,0,0.4353,38.7758,0.19,63.4737,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.3993,0.0011,0.4498,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
73,15,47.9,35.8,16.3,-1,1.180000027,2.65,,0,0.5547,4.9033,0.1987,7.9754,0,0.5547,17.0339,0.1793,28.1097,0.0724,0.5547,11.8321,0.3308,17.7703,0,0.5547,9.4445,0.1987,15.3612,-1,-1,-1,-1,-1,0,0.5547,1.9652,0.19,3.2169,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5769,0.0065,0.3435,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
74,15,49.7,37.7,12.6,-1,1.180000027,2.65,,0,0.5547,5.8644,0.2185,9.4069,0,0.5547,15.8174,0.1995,25.713,0.0608,0.5547,11.9739,0.3472,17.8392,0,0.5547,9.8261,0.2186,15.7609,-1,-1,-1,-1,-1,0,0.5547,1.2517,0.19,2.0489,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5747,0.01,0.3435,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75,15,53.9,34.3,11.8,-1,1.180000027,2.65,,0,0.5547,4.5619,0.2154,7.3333,0,0.5547,14.834,0.2126,23.8906,0.0592,0.5547,10.5426,0.3517,15.6728,0,0.5547,10.567,0.2353,16.7611,-1,-1,-1,-1,-1,0,0.5547,0.9579,0.19,1.5681,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5743,0.011,0.3435,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
76,15,53.5,32.3,14.2,-1,1.180000027,2.65,,0,0.5547,3.6941,0.1999,6.0035,0,0.5547,15.4233,0.1992,25.0781,0.0672,0.5547,9.9944,0.3403,14.9397,0,0.5547,10.4924,0.2236,16.7727,-1,-1,-1,-1,-1,0,0.5547,1.2677,0.19,2.0751,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5756,0.0083,0.3435,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
77,15,39.8,48.2,12,-1,1.269117671,2.65,,0,0.5211,15.6906,0.2426,24.7718,0,0.5211,23.1328,0.1815,38.1106,0.057,0.5211,19.3209,0.3536,28.6961,0,0.5211,9.6792,0.188,15.8684,-1,-1,-1,-1,-1,0,0.5211,3.5768,0.19,5.855,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5242,0.0071,0.3734,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
78,15,42.9,45.7,11.4,-1,1.269117671,2.65,,0,0.5211,13.6101,0.2404,21.5173,0,0.5211,21.8251,0.1906,35.7092,0.0559,0.5211,17.5632,0.3571,26.0427,0,0.5211,10.1941,0.1985,16.5828,-1,-1,-1,-1,-1,0,0.5211,2.9736,0.19,4.8677,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5239,0.0076,0.3734,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
79,15,42.9,45.7,11.4,-1,1.269117671,2.65,,0,0.5211,13.6101,0.2404,21.5173,0,0.5211,21.8251,0.1906,35.7092,0.0559,0.5211,17.5632,0.3571,26.0427,0,0.5211,10.1941,0.1985,16.5828,-1,-1,-1,-1,-1,0,0.5211,2.9736,0.19,4.8677,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5239,0.0076,0.3734,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80,15,41.7,49.5,8.8,-1,1.269117671,2.65,,0,0.5211,17.8968,0.2601,27.9499,0,0.5211,21.078,0.1998,34.2568,0.0461,0.5211,19.0075,0.3666,28.0596,0,0.5211,10.0367,0.2101,16.1927,-1,-1,-1,-1,-1,0,0.5211,2.3711,0.19,3.8813,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5228,0.0106,0.3734,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
81,15,54.1,34.1,11.8,-1,1.239374995,2.65,,0,0.5323,5.4375,0.2149,8.7434,0,0.5323,17.2662,0.2131,27.7992,0.0603,0.5323,11.274,0.3563,16.7232,0,0.5323,11.583,0.2314,18.4199,-1,-1,-1,-1,-1,0,0.5323,1.5275,0.19,2.5004,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5408,0.0083,0.3634,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
82,15,45.6,40.1,14.2,-1,1.239374995,2.65,,0,0.5323,8.3917,0.2166,13.4779,0,0.5323,20.348,0.184,33.4598,0.0658,0.5323,14.6119,0.3437,21.8064,0,0.5323,10.0554,0.1955,16.3933,-1,-1,-1,-1,-1,0,0.5323,2.805,0.19,4.5916,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5421,0.0062,0.3634,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,15,44.4,45.5,10.1,-1,1.239374995,2.65,,0,0.5323,12.6094,0.2463,19.8608,0,0.5323,19.1996,0.1999,31.2005,0.0514,0.5323,16.3637,0.3604,24.2259,0,0.5323,9.9081,0.2115,15.9696,-1,-1,-1,-1,-1,0,0.5323,1.9216,0.19,3.1456,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5401,0.0103,0.3634,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
84,15,56.2,36,7.7,-1,1.239374995,2.65,,0,0.5323,7.2057,0.2428,11.3748,0,0.5323,15.5355,0.2434,24.5151,0.0459,0.5323,11.9484,0.3771,17.5541,0,0.5323,11.8344,0.2625,18.4554,-1,-1,-1,-1,-1,0,0.5323,0.85,0.19,1.3914,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5392,0.0137,0.3634,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
85,15,42.3,46.2,11.5,-1,1.288737369,2.65,,0,0.5137,14.8716,0.2409,23.5038,0,0.5137,23.2993,0.1889,38.1704,0.0563,0.5137,18.4442,0.358,27.3371,0,0.5137,10.5032,0.1951,17.1287,-1,-1,-1,-1,-1,0,0.5137,3.5982,0.19,5.89,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5129,0.0069,0.38,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
86,15,55,33.4,11.6,-1,1.288737369,2.65,,0,0.5137,6.096,0.2145,9.8049,0,0.5137,19.1681,0.2162,30.7943,0.0606,0.5137,11.7383,0.3617,17.3677,0,0.5137,12.7728,0.2317,20.3083,-1,-1,-1,-1,-1,0,0.5137,2.1258,0.19,3.4799,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5129,0.0068,0.38,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,15,44.5,40.6,14.9,-1,1.214020639,2.65,,0,0.5419,7.9366,0.2146,12.7651,0,0.5419,19.3692,0.1789,31.9727,0.0675,0.5419,14.4826,0.339,21.6634,0,0.5419,9.4023,0.1917,15.3711,-1,-1,-1,-1,-1,0,0.5419,2.5627,0.19,4.195,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5568,0.0065,0.3549,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
88,15,44.5,40.6,14.9,-1,1.214020639,2.65,,0,0.5419,7.9366,0.2146,12.7651,0,0.5419,19.3692,0.1789,31.9727,0.0675,0.5419,14.4826,0.339,21.6634,0,0.5419,9.4023,0.1917,15.3711,-1,-1,-1,-1,-1,0,0.5419,2.5627,0.19,4.195,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5568,0.0065,0.3549,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,15,49.1,38.6,12.3,-1,1.214020639,2.65,,0,0.5419,7.014,0.2218,11.2257,0,0.5419,17.4558,0.1997,28.3721,0.0601,0.5419,12.8805,0.3508,19.1562,0,0.5419,10.2453,0.2155,16.4679,-1,-1,-1,-1,-1,0,0.5419,1.6327,0.19,2.6726,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5554,0.0088,0.3549,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
90,15,50,43.2,6.9,-1,1.203105278,2.65,,0,0.546,10.8811,0.26,16.9944,0,0.546,15.3391,0.2309,24.4002,0.0405,0.546,14.1873,0.3729,20.884,0,0.546,10.2725,0.2517,16.1257,-1,-1,-1,-1,-1,0,0.546,0.7768,0.19,1.2716,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5594,0.0176,0.3512,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,15,41.3,45.3,13.4,-1,1.331470574,2.65,,0,0.4976,15.9245,0.2307,25.3358,0,0.4976,27.8525,0.1788,45.9792,0.0628,0.4976,20.0425,0.3526,29.7818,0,0.4976,11.4076,0.1809,18.802,-1,-1,-1,-1,-1,0,0.4976,6.368,0.19,10.424,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.4897,0.0044,0.3944,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
92,15,50.7,32.9,16.4,-1,1.331470574,2.65,,0,0.4976,6.7683,0.1921,11.0621,0,0.4976,25.5888,0.1837,42.0854,0.0755,0.4976,13.4241,0.3384,20.0855,0,0.4976,13.33,0.1954,21.7331,-1,-1,-1,-1,-1,0,0.4976,5.9613,0.19,9.7583,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.4916,0.003,0.3944,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,15,39.3,48.4,12.3,-1,1.331470574,2.65,,0,0.4976,19.1609,0.2417,30.2685,0,0.4976,28.0507,0.1792,46.293,0.0585,0.4976,21.6865,0.3568,32.1609,0,0.4976,11.0429,0.1809,18.2009,-1,-1,-1,-1,-1,0,0.4976,6.1689,0.19,10.0981,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.4892,0.0051,0.3944,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
94,15,44.2,41.7,14.1,-1,1.331470574,2.65,,0,0.4976,12.6763,0.2202,20.3096,0,0.4976,26.9801,0.1817,44.4426,0.0661,0.4976,17.915,0.3501,26.6532,0,0.4976,11.9553,0.1855,19.6365,-1,-1,-1,-1,-1,0,0.4976,6.1018,0.19,9.9883,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.4901,0.004,0.3944,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,15,69.2,20.1,10.8,-1,1.129999995,2.65,,0,0.5736,1.0805,0.1923,1.7658,0,0.5736,10.7391,0.2583,16.7893,0.0587,0.5736,6.0785,0.3589,9.0056,0,0.5736,12.6288,0.3008,19.2667,-1,-1,-1,-1,-1,0,0.5736,0.2737,0.19,0.448,-1,-1,-1,-1,-1,0.025,0.366,0.043,1.5206,0.3424,5.3988,0,0.6021,0.0155,0.3267,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
96,15,53.6,28.9,17.4,-1,1.129999995,2.65,,0,0.5736,2.2494,0.1801,3.7099,0,0.5736,13.7499,0.1841,22.6082,0.0765,0.5736,8.6077,0.3223,12.9838,0,0.5736,9.7988,0.2164,15.7401,-1,-1,-1,-1,-1,0,0.5736,1.1739,0.19,1.9216,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.6059,0.0074,0.3267,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
97,15,62.1,26.6,11.2,-1,1.129999995,2.65,,0,0.5736,2.0439,0.2031,3.3139,0,0.5736,11.7098,0.2357,18.5692,0.0583,0.5736,7.6647,0.3536,11.3837,0,0.5736,11.3599,0.2708,17.6275,-1,-1,-1,-1,-1,0,0.5736,0.4096,0.19,0.6705,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.6023,0.0148,0.3267,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
98,15,82.7,12.3,5,-1,1.129999995,2.65,,0,0.5736,0.8104,0.228,1.2917,0,0.5736,8.5662,0.3804,12.5667,0.0403,0.5736,5.9811,0.4128,8.6531,0,0.5736,14.5039,0.4059,21.0441,-1,-1,-1,-1,-1,0,0.5736,0.0493,0.19,0.0807,-1,-1,-1,-1,-1,0.025,0.366,0.043,1.5206,0.3424,5.3988,0,0.6002,0.0295,0.3267,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
99,15,65.9,25.4,8.7,-1,1.299999952,2.65,,0,0.5094,3.5622,0.2162,5.7227,0,0.5094,15.5345,0.2654,24.1837,0.0538,0.5094,8.8722,0.3838,12.9959,0,0.5094,14.8051,0.2867,22.765,-1,-1,-1,-1,-1,0,0.5094,0.9582,0.19,1.5685,-1,-1,-1,-1,-1,0.025,0.366,0.043,1.5206,0.3424,5.3988,0,0.5054,0.0094,0.3838,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100,15,67.1,26.4,6.5,-1,1.299999952,2.65,,0,0.5094,4.3255,0.2351,6.862,0,0.5094,14.5153,0.2884,22.2971,0.0458,0.5094,9.4696,0.3984,13.7835,0,0.5094,14.7417,0.3079,22.4047,-1,-1,-1,-1,-1,0,0.5094,0.6597,0.19,1.0799,-1,-1,-1,-1,-1,0.025,0.366,0.043,1.5206,0.3424,5.3988,0,0.5047,0.0124,0.3838,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,15,67.1,26.4,6.5,-1,1.299999952,2.65,,0,0.5094,4.3255,0.2351,6.862,0,0.5094,14.5153,0.2884,22.2971,0.0458,0.5094,9.4696,0.3984,13.7835,0,0.5094,14.7417,0.3079,22.4047,-1,-1,-1,-1,-1,0,0.5094,0.6597,0.19,1.0799,-1,-1,-1,-1,-1,0.025,0.366,0.043,1.5206,0.3424,5.3988,0,0.5047,0.0124,0.3838,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,15,60.8,31.2,8,-1,1.299999952,2.65,,0,0.5094,5.9128,0.2319,9.3997,0,0.5094,16.5827,0.2548,25.9805,0.0496,0.5094,10.9239,0.3849,15.9937,0,0.5094,13.8245,0.272,21.437,-1,-1,-1,-1,-1,0,0.5094,1.137,0.19,1.8612,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5051,0.0102,0.3838,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
