XCoord,YCoord,COMMENT,PLOT
437864.07616244,4335648.01918333,24,DES998
437854.01361280,4335654.89798564,16,DES998
451668.27029315,4373559.77216910,1,DES1014
451672.28926834,4373558.51256668,2,DES1014
451673.12872775,4373557.86554422,3,DES1014
451676.53915817,4373562.00220088,5,DES1014
451680.02810738,4373556.19655482,4,DES1014
451678.16129138,4373565.24734115,6,DES1014
451677.33752617,4373569.41899792,7,DES1014
451676.03165837,4373557.14007070,64,DES1014
451674.30039544,4373555.64657372,65,DES1014
451676.24506197,4373555.76667512,63,DES1014
451675.06294756,4373552.73926423,59,DES1014
451675.76074636,4373551.21360889,61,DES1014
451672.20635117,4373547.85306558,60,DES1014
451672.10142738,4373564.12746801,16,DES1014
451672.70798337,4373567.77844409,8,DES1014
451672.49168179,4373572.43389675,9,DES1014
451670.98281215,4373569.48530454,14,DES1014
451670.78477804,4373566.65473611,15,DES1014
451669.09988455,4373567.98789003,13,DES1014
451667.67172805,4373569.26633158,12,DES1014
451668.60277617,4373570.33427273,11,DES1014
451667.49355394,4373572.00576649,10,DES1014
451665.06189124,4373570.59815430,22,DES1014
451664.61661879,4373570.88125553,21,DES1014
451667.17590608,4373575.26282779,24,DES1014
451662.51238093,4373574.64706923,25,DES1014
451662.29087911,4373565.85825809,30,DES1014
451665.45298177,4373562.81464513,17,DES1014
451663.80965111,4373565.45259703,18,DES1014
451664.77269843,4373567.19289744,19,DES1014
451662.90507098,4373569.93793613,20,DES1014
451657.89411492,4373569.69530997,26,DES1014
451655.74317892,4373567.66677871,29,DES1014
451655.33212438,4373569.63345541,28,DES1014
451654.54385669,4373569.89888776,27,DES1014
451653.53983772,4373566.21878075,34,DES1014
451653.40988883,4373563.00965282,33,DES1014
451652.29437000,4373562.34502898,38,DES1014
451654.96794314,4373559.29557941,32,DES1014
451648.78200933,4373558.99462320,37,DES1014
451647.93631661,4373560.56250852,36,DES1014
451647.17564484,4373562.77234776,35,DES1014
451654.94728441,4373557.95228611,40,DES1014
451652.07452931,4373557.55518105,41,DES1014
451652.31425804,4373556.50700913,42,DES1014
451650.95768997,4373554.96507232,43,DES1014
451651.50374225,4373553.36069863,47,DES1014
451651.84071412,4373551.66074962,46,DES1014
451650.14463268,4373552.66947169,45,DES1014
451649.54214199,4373552.43046038,44,DES1014
451654.71197265,4373551.42048503,49,DES1014
451664.10088346,4373554.07677663,55,DES1014
451666.76021692,4373548.77550577,56,DES1014
451655.34506223,4373547.94164039,50,DES1014
451663.59685869,4373560.11705474,31,DES1014
451659.92203824,4373550.18198822,53,DES1014
451658.98336318,4373550.22953664,54,DES1014
451657.58625909,4373552.36060258,74,DES1014
451651.33984758,4373549.40939181,77,DES1014
451651.97114115,4373549.26429967,78,DES1014
451655.14898882,4373562.73259745,39,DES1014
451653.76237452,4373554.72111459,48,DES1014
451653.54077979,4373552.97992020,75,DES1014
451668.88006013,4373554.72877204,57,DES1014
451671.91294270,4373567.79689116,66,DES1014
451672.62922467,4373572.08012879,67,DES1014
451662.54599219,4373566.57758505,70,DES1014
451663.83933940,4373574.72254521,68,DES1014
451651.13589632,4373563.01742187,79,DES1014
451649.06488036,4373563.14491416,80,DES1014
451650.39442922,4373564.03359253,81,DES1014
451654.78538788,4373567.56197275,82,DES1014
451654.85189516,4373573.48485726,83,DES1014
451659.26407201,4373574.13459510,85,DES1014
451659.68944138,4373573.65549744,86,DES1014
451658.48313110,4373572.85625544,87,DES1014
451656.95349863,4373572.27040084,88,DES1014
451658.18325627,4373547.58468889,91,DES1014
451658.82623456,4373548.00973447,92,DES1014
451671.77193728,4373545.29154867,93,DES1014
451668.66723558,4373554.67386652,94,DES1014
437907.05505636,4335626.95129323,1,DES998120
437902.21111134,4335629.17872015,5,DES998120
437903.13481558,4335620.94312682,3,DES998120
437903.58333998,4335626.43683202,2,DES998120
437900.81003938,4335626.62092934,6,DES998120
437899.88986786,4335629.07201504,4,DES998120
437895.93184617,4335614.09279808,7,DES998120
437913.70631908,4335603.66402484,9,DES998120
437904.30361100,4335600.49980674,8,DES998120
437915.15657353,4335617.90139831,11,DES998120
437919.29121334,4335621.51586897,10,DES998120
437829.77869314,4335624.01733441,1,DES998240
437831.62614238,4335621.85393268,2,DES998240
437834.17485798,4335620.83182268,3,DES998240
437834.08102821,4335628.20523774,4,DES998240
437831.51490488,4335632.52011959,5,DES998240
437829.41501563,4335633.38865990,6,DES998240
437829.02046103,4335640.54412941,7,DES998240
437825.13781319,4335636.77784273,8,DES998240
437821.91095306,4335637.64271793,9,DES998240
437819.81988506,4335632.73705598,11,DES998240
437822.13049971,4335627.93359749,13,DES998240
437815.29715003,4335633.76531951,12,DES998240
437819.07948712,4335640.13293615,10,DES998240
437817.26448534,4335626.51447775,17,DES998240
437814.91850064,4335625.63327546,16,DES998240
437813.16022434,4335624.27590451,15,DES998240
437812.81089500,4335629.30093505,14,DES998240
437814.55963651,4335627.64158327,26,DES998240
437814.98833553,4335623.90431517,18,DES998240
437818.63209234,4335623.43915639,19,DES998240
437814.82007988,4335619.74770282,20,DES998240
437812.95720972,4335614.84151576,21,DES998240
437821.42574354,4335612.49853516,22,DES998240
437825.51405339,4335609.72352749,24,DES998240
437825.25567644,4335612.38002355,23,DES998240
437822.24797419,4335610.85941831,27,DES998240
437829.64657033,4335630.68939047,25,DES998240
437875.42789698,4335717.66928923,17,DES998360
437876.60063273,4335721.06684608,6,DES998360
437876.64439381,4335726.65894184,7,DES998360
437874.03181701,4335727.45485780,8,DES998360
437875.60852821,4335726.63557859,8,DES998360
437870.82512168,4335726.26859685,9,DES998360
437867.37341187,4335720.92303709,10,DES998360
437867.60995785,4335726.35979323,11,DES998360
437865.98842783,4335713.56156986,14,DES998360
437869.52544899,4335711.11402057,15,DES998360
