"","X","plot","year","Pndjfm","VPDaso","VPDmjj","logP","vpdtot","tmean","tmax","vpdmax","ppt_tot","stdP","stdVPD","MAP_anom","fdsi","MAT_anom"
"3235",3235,"FC795240",1906,53.1639995574951,4.5133,0,3.97338146723569,2.25665,7.78200035262853,20.988000869751,20.2751,399.225994110107,0.746954571069949,-0.920352045199031,128.047195659936,0.844057156582235,0.0941551027103502
"3236",3236,"FC795240",1907,72.1439990997314,5.6769,0,4.27866410919995,2.83845,7.78900036339958,19.0120010375977,17.2199,391.465998649597,1.25882842315385,-0.0960430492642322,120.287200199426,0.607668613775662,0.101155113481401
"3237",3237,"FC795240",1908,54.2240018844604,6.9885,0,3.99312364961795,3.49425,7.38900034626325,21.1940002441406,20.6126,268.904998779297,0.780056705143242,0.833111023499675,-2.27379967087415,-0.123317222896792,-0.298844903654929
"3238",3238,"FC795240",1909,13.3159999847412,3.8572,0,2.58896631856688,1.9286,7.65658358732859,20.4400005340576,19.3933,294.173999786377,-1.57432354180542,-1.38514160538537,22.9952013362059,0.0829769406214219,-0.0312616625895901
"3239",3239,"FC795240",1910,67.9940013885498,5.9704,0,4.21941948641068,2.9852,9.29950040082138,20.726001739502,19.8489,177.555997908115,1.15949171312252,0.11187607269079,-93.6228005420562,0.447525753067066,1.6116551509032
"3240",3240,"FC795240",1911,37.6809988021851,6.622,0,3.62915595684583,3.311,7.09858371814092,19.4040012359619,17.7962,252.321999549866,0.169784389185087,0.573477775811377,-18.8567989003051,-0.246442423212933,-0.58926153177726
"3241",3241,"FC795240",1912,21.4689998626709,4.7889,0,3.06661002779081,2.39445,7.10983354349932,18.2980003356934,16.1871,284.889996528626,-0.773448248696822,-0.725113510238881,13.7111980784549,0.0657463363071717,-0.578011706418859
"3242",3242,"FC795240",1913,28.1889991760254,3.8513,0,3.33893180169427,1.92565,7.18016688525676,19.3470001220703,17.7115,329.28600025177,-0.316840580087208,-1.38932124020491,58.1072018015989,0.638610039276376,-0.50767836466142
"3243",3243,"FC795240",1914,55.4809989929199,5.0421,0,4.01604060164573,2.52105,8.58058378597101,20.4560012817383,19.4266,281.500998973846,0.818482042519138,-0.545743419339353,10.3222005236748,0.665748413538459,0.89273853605283
"3244",3244,"FC795240",1915,7.59899997711182,6.69,0,2.02801665667565,3.345,8.13133375812322,20.2520008087158,19.1073,224.684001296759,-2.51487968482726,0.621649838138265,-46.4947971534122,-1.45467097068142,0.443488508205041
"3245",3245,"FC795240",1916,29.9409999847412,7.2897,0,3.39922877805768,3.64485,7.34183366099994,19.8040008544922,18.4055,289.513003945351,-0.215739366596782,1.04648492310054,18.3342054951798,-0.680956878238884,-0.346011588918239
"3246",3246,"FC795240",1917,23.7300004959107,3.9216,0,3.16674009134572,1.9608,7.49483366807302,20.5320014953613,19.5352,254.915000200272,-0.605558056802919,-1.33951982871108,-16.2637982498991,0.483685559084921,-0.19301158184516
