"","plot","year","Pndjfm","VPDaso","VPDmjj","logP","vpdtot","tmean","tmax","vpdmax","ppt_tot","stdP","stdVPD","MAP_anom","MAT_anom","MAP_anom_prop","MAT_anom_prop","fdsi","pdsi"
"12","DES1014",1907,177.802000045777,35.2826,32.7145,5.18067057186792,33.99855,7.71050037940342,19.1650009155273,17.4461,308.251997470856,2.20525260375847,-1.23875380797531,75.5989088240162,-0.326424124961967,1.32494263997833,0.95938444802055,1.6640132781199,3.28737845585867
"13","DES1014",1908,95.4790000915527,30.572,35.4371,4.55890632897709,33.00455,7.42541698366404,21.2670001983643,20.7331,216.030001401901,0.12847069364188,-1.63247079002488,-16.6230872449381,-0.611507520701347,0.928549896579402,0.923912745432759,0.970710747616359,2.06731295510314
"14","DES1014",1909,99.2469985485077,31.1063,37.2476,4.59761167778516,34.17695,7.83058383242072,19.6470012664795,18.1702,248.054999828339,0.257752120080342,-1.16809071984891,15.4019111814991,-0.206340671944669,1.06620118938064,0.974325916358603,0.767541735950738,-0.75170915730402
"15","DES1014",1910,104.651001930237,34.5211,43.3737,4.6506310229526,38.9474,8.84650041659672,20.9340019226074,20.1879,144.326999664307,0.434844351080969,0.72145372383154,-88.3260889825328,0.809575912231331,0.620352820174207,1.1007320538835,-0.212682570870036,-1.70903337163936
"16","DES1014",1911,121.258999824524,34.7723,38.0546,4.79792875241993,36.41345,7.02608373885354,20.4490013122559,19.4106,203.389997959137,0.926839932133881,-0.28222751023738,-29.2630906877025,-1.01084076551185,0.874220063623901,0.874225424792432,0.565856975871841,-1.35793366031967
"17","DES1014",1912,71.0429997444153,28.6523,34.2879,4.26328532392439,31.4701,6.95475036899248,18.5330009460449,16.5216,229.033997535706,-0.858945939854896,-2.24025652755603,-3.61909111113394,-1.08217413537291,0.984444259338299,0.865349719935143,0.87660744189522,-1.50843060367786
"18","DES1014",1913,49.7790002822876,26.5218,33.3281,3.90759321401958,29.92495,7.19008365273475,19.1260013580322,17.383,299.12900352478,-2.04700869493876,-2.85228046600059,66.4759148779408,-0.846840851630641,1.28572977588468,0.894631229748312,0.696593235187275,-0.09949447333789
"19","DES1014",1914,129.988999843597,33.8347,38.962,4.86744983028769,36.39835,8.31683377859493,19.8270015716553,18.4464,238.602000713349,1.15905032142273,-0.288208522741351,5.94891206650905,0.279909274229542,1.02556988218428,1.03482790886956,0.67137891416116,0.696817409148751
"20","DES1014",1915,49.0420002937317,34.8253,34.0929,3.89267707982,34.4591,8.01383362958829,20.4630012512207,19.4395,193.51699757576,-2.09683072640607,-1.05633292660415,-39.1360910710796,-0.0230908747771039,0.831783488030597,0.997126901619573,-0.331059080720345,-1.79948419942217
"21","DES1014",1916,128.766998767853,35.5962,35.4639,4.85800456009363,35.53005,7.14758364359537,19.4850006103516,17.9243,225.056998729706,1.12750176182081,-0.632136546396924,-7.5960899171337,-0.889340860770018,0.967350143678237,0.889343136135352,0.850097241183433,-1.07120144590716
"22","DES1014",1917,67.1140003204345,30.6656,38.6835,4.20639267080422,34.67455,7.46516703565916,21.7070007324219,21.4717,203.109999880195,-1.04897557595804,-0.97099457269814,-29.5430887666449,-0.571757468706231,0.873016563251002,0.928858673688465,0.0822077072894188,0.312979422136364
